歌曲識別碼,歌曲名,歌曲名中譯,歌曲名英譯,語言,歌曲時長,YouTube 連結,發行日期,圖片,音檔,我的最愛,備註
216,Losing Sleep,失眠,Losing Sleep,韓文,2:39,https://youtu.be/U0abEcy5Mqs,2024/9/6,,,,
217,One Love,唯一的愛,One Love,韓文,3:13,https://youtu.be/ikP_9-wNfps,2024/9/6,,,,
218,Fly,飛翔,Fly,韓文,3:43,https://youtu.be/CPblcis1xU0,2024/9/6,,,,
219,Avocado (feat. Gliiico),酪梨,Avocado (feat. Gliiico),韓文,2:21,https://youtu.be/SGwinvCq4oY,2025/9/12,,,,
220,Band-Aid,OK繃,Band-Aid,韓文,2:25,https://youtu.be/XJAN_eQxeB0,2025/9/12,,,,
221,Shoot (Firecracker),發射,Shoot (Firecracker),韓文,2:48,https://youtu.be/glptno5ohjc,2025/9/12,,,,
222,Girl,女孩,Girl,韓文,2:37,https://youtu.be/_pM7B1cej_8,2025/9/12,,,,
223,RIBBONS (feat. SUMIN & Jibin),緞帶,RIBBONS (feat. SUMIN & Jibin),韓文,2:37,https://youtu.be/AQv3hzWshGI,2025/9/12,,,,
224,DOWNPOUR (feat. Gliiico),暴雨,DOWNPOUR (feat. Gliiico),韓文,1:49,https://youtu.be/-EN63cmt6Gw,2025/9/12,,,,
225,BF,男朋友,BF,韓文,1:31,https://youtu.be/f1JjtFRz-lo,2025/9/12,,,,
226,Shadow Puppets(그림자놀이),影子遊戲,Shadow Puppets,韓文,2:27,https://youtu.be/jqNpkGKf0Cw,2025/9/12,,,,
227,My Guitar(내 기타),我的吉他,My Guitar,韓文,2:24,https://youtu.be/dtaXzli1aHQ,2025/9/12,,,,
228,Lonely Doll Waltz,孤獨人偶華爾滋,Lonely Doll Waltz,韓文,3:01,https://youtu.be/LPW5w_EnZNk,2025/9/12,,,,
229,BDZ,BDZ,BDZ,日文,3:19,https://youtu.be/1gboAurxRos,2018/9/12,,,,
230,One More Time,再一次,One More Time,日文,3:02,https://youtu.be/8ClIKebT72M,2018/9/12,,,,
231,Candy Pop,糖果爆,Candy Pop,日文,3:22,https://youtu.be/E5Jq6H_a8cg,2018/2/7,,,,
232,L.O.V.E,愛,L.O.V.E,日文,3:23,https://youtu.be/PVqxZCQkdE0,2018/9/12,,,,
233,Wishing,願望,Wishing,日文,4:29,https://youtu.be/06Y0eM8sIF0,2018/9/12,,,,
234,Say It Again,再說一次,Say It Again,日文,3:23,https://youtu.be/8xhJT8-fig4,2018/9/12,,,,
235,Wake Me Up,叫醒我,Wake Me Up,日文,3:32,https://youtu.be/S5Imn7jDYD8,2018/5/16,,,,
236,BRAND NEW GIRL,全新女孩,BRAND NEW GIRL,日文,3:24,https://youtu.be/zPKSM2x4ak8,2018/2/7,,,,
237,Be as ONE,合而為一,Be as ONE,日文,3:47,https://youtu.be/pXS9WVPC1pg,2018/9/12,,,,
238,I WANT YOU BACK,我想要你回來,I WANT YOU BACK,日文,3:20,https://youtu.be/WR3M7VIjTXE,2018/6/15,,,,
239,Fake & True,假與真,Fake & True,日文,3:39,https://youtu.be/Djl-H3GiQcQ,2019/11/20,,,,
240,Stronger,更強大,Stronger,日文,3:14,https://youtu.be/kLAXD52Bvp0,2019/11/20,,,,
241,Breakthrough,突破,Breakthrough,日文,3:37,https://youtu.be/QBuni__P6Xk,2019/11/20,,,,
242,Changing!,改變,Changing!,日文,3:42,https://youtu.be/YMacCmjneiU,2019/11/20,,,,
243,HAPPY HAPPY,快樂快樂,HAPPY HAPPY,日文,3:26,https://youtu.be/REq05kc2NuM,2019/7/17,,,,
244,What You Waiting For,你在等什麼,What You Waiting For,日文,3:21,https://youtu.be/Xo0vp0ML7lc,2019/11/20,,,,
245,Be OK,沒關係,Be OK,日文,3:08,https://youtu.be/qXSmnH2T5sI,2019/11/20,,,,
246,POLISH,波蘭,POLISH,日文,3:01,https://youtu.be/AKZKw7GCsik,2019/11/20,,,,
247,How u doin',你好嗎,How U Doin’,日文,3:29,https://youtu.be/j73UR6b2zTs,2019/11/20,,,,
248,The Reason Why,原因,The Reason Why,日文,3:46,https://youtu.be/-v1Ox66geJI,2019/11/20,,,,
249,Perfect World,完美世界,Perfect World,日文,3:02,https://youtu.be/qbGYTzFJxnc,2021/7/28,,,,
250,BETTER,更好,BETTER,日文,3:43,https://youtu.be/7DcbMtiN0q8,2021/7/28,,,,
251,Good at Love,戀愛高手,Good at Love,日文,3:52,https://youtu.be/nyqdtUiV7Zo,2021/7/28,,,,
252,Fanfare,應援,Fanfare,日文,3:40,https://youtu.be/G8twM11msXU,2021/7/28,,,,
253,Kura Kura,暈暈的,Kura Kura,日文,3:47,https://youtu.be/lPt-vK1p5OI,2021/7/28,,,,
254,Four-leaf Clover,四葉幸運草,Four-leaf Clover,日文,3:48,https://youtu.be/9cjBBDa_KXA,2021/7/28,,,,
255,In the summer,在夏天,In the Summer,日文,3:31,https://youtu.be/-at-LyHsTQc,2021/7/28,,,,
256,PIECES OF LOVE,愛的碎片,PIECES OF LOVE,日文,4:02,https://youtu.be/jNuwG28bAd0,2021/7/28,,,,
257,"Thank you, Family",謝謝你，家人,"Thank You, Family",日文,3:18,https://youtu.be/iwv8rJqbsqA,2021/7/28,,,,
258,PROMISE,約定,PROMISE,日文,4:20,https://youtu.be/WZcdhtx1V6Q,2021/7/28,,,,
259,Celebrate,慶祝,Celebrate,日文,3:08,https://youtu.be/uh7E7Nt-n1k,2022/7/27,,,,
260,Voices of Delight,喜悅之聲,Voices of Delight,日文,3:03,https://youtu.be/51js5vAe4M4,2022/7/27,,,,
261,TICK TOCK,滴答,TICK TOCK,日文,3:03,https://youtu.be/U5orW-UG1ic,2022/7/27,,,,
262,Flow like waves,如浪流動,Flow Like Waves,日文,3:33,https://youtu.be/_FPXHHOeVmU,2022/7/27,,,,
263,That's all I'm saying,就這麼說吧,That’s All I’m Saying,日文,3:02,https://youtu.be/miqIEK6OXU0,2022/7/27,,,,
264,Bitter Sweet,苦中帶甜,Bitter Sweet,日文,3:30,https://youtu.be/PjZxO5oiUKA,2022/7/27,,,,
265,Sandcastle,沙堡,Sandcastle,日文,3:12,https://youtu.be/yXIX2apmZio,2022/7/27,,,,
266,Just be yourself,做自己,Just Be Yourself,日文,3:20,https://youtu.be/oGzQBRFKWfM,2022/3/22,,,,
267,Doughnut,甜甜圈,Doughnut,日文,4:23,https://youtu.be/8z4rLekKl6g,2022/7/27,,,,
268,Beyond the Horizon,超越地平線,Beyond the Horizon,日文,3:32,https://youtu.be/cKptx1j6m9Q,2024/7/17,,,,
269,DIVE,潛水,DIVE,日文,3:02,https://youtu.be/snm3mf90zsQ,2024/7/17,,,,
270,Ocean Deep,深海,Ocean Deep,日文,3:40,https://youtu.be/sML_1FMTn6c,2024/7/17,,,,
271,LOVE WARNING,愛的警告,LOVE WARNING,日文,3:26,https://youtu.be/qYmIZG8CosQ,2024/7/17,,,,
272,Here I am,我在這裡,Here I Am,日文,2:50,https://youtu.be/AbHYouK42oc,2024/7/17,,,,
273,Inside of me,在我心中,Inside of Me,日文,2:53,https://youtu.be/72LtcwY18Ak,2024/7/17,,,,
274,Peach Soda,桃子汽水,Peach Soda,日文,3:10,https://youtu.be/x7XKjwF8Lmg,2024/7/17,,,,
275,Echoes of heart,心之回聲,Echoes of Heart,日文,3:14,https://youtu.be/aZejUVfjo9s,2024/7/17,,,,
276,Dance Again,再次起舞,Dance Again,日文,3:12,https://youtu.be/RW6HhmyGehE,2023/12/12,,,,
277,Hare Hare,晴晴,Hare Hare,日文,3:23,https://youtu.be/1qWqUk92tew,2024/7/17,,,,
278,Up to you,由你決定,Up to You,日文,2:58,https://youtu.be/a_f-Bf4P4DE,2025/8/27,,,,
279,ENEMY,敵人,ENEMY,日文,2:41,https://youtu.be/4qKqfcK5hIA,2025/8/27,,,,
280,FINE,沒關係,FINE,日文,3:00,https://youtu.be/zOfojpba76w,2025/8/27,,,,
281,One day,某一天,One Day,日文,3:11,https://youtu.be/4gt45q8Az0E,2025/8/27,,,,
282,Blind in Love,愛情盲目,Blind in Love,日文,2:43,https://youtu.be/UXn0HgvCpdM,2025/8/27,,,,
283,Love is more,愛更多,Love Is More,日文,2:55,https://youtu.be/Uz44R2x25Dc,2025/8/27,,,,
284,The wish,願望,The Wish,日文,2:47,https://youtu.be/KHJF37Xs0Xk,2024/12/16,,,,
285,Glow,發光,Glow,日文,2:54,https://youtu.be/wQV8eZX-ovE,2025/8/27,,,,
286,Like 1,像1,Like 1,日文,3:06,https://youtu.be/QutKfTlcBKc,2025/8/27,,,,
287,STAY BY MY SIDE,留在我身邊,STAY BY MY SIDE,日文,4:14,https://youtu.be/96K5RxgTfW4,2018/10/21,,,,
288,SWING,搖擺,SWING,日文,3:22,https://youtu.be/mhutS2dVjNs,2020/2/5,,,,
289,Like OOH-AHH (Japanese ver.),像 OOH-AHH 一樣（日文版）,Like OOH-AHH (Japanese ver.),日文,3:35,https://youtu.be/SF4jJUlmYUo,2017/6/28,,,,
290,CHEER UP (Japanese ver.),加油（日文版）,CHEER UP (Japanese ver.),日文,3:29,https://youtu.be/f7t6HutmqqA,2017/6/28,,,,
291,TT (Japanese ver.),TT（日文版）,TT (Japanese ver.),日文,3:34,https://youtu.be/2mxm7eL8LHs,2017/6/28,,,,
292,KNOCK KNOCK (Japanese ver.),敲敲（日文版）,KNOCK KNOCK (Japanese ver.),日文,3:15,https://youtu.be/aclodAhokek,2017/6/28,,,,
293,SIGNAL (Japanese ver.),信號（日文版）,SIGNAL (Japanese ver.),日文,3:18,https://youtu.be/t675fXM-y-s,2017/6/28,,,,
294,Like OOH-AHH (Korean ver.),像 OOH-AHH 一樣（韓文版）,Like OOH-AHH (Korean ver.),韓文,3:35,https://youtu.be/SF4jJUlmYUo,2017/6/28,,,,
295,CHEER UP (Korean ver.),加油（韓文版）,CHEER UP (Korean ver.),韓文,3:29,https://youtu.be/prWVZFgZ3Zc,2017/6/28,,,,
296,TT (Korean ver.),TT（韓文版）,TT (Korean ver.),韓文,3:34,https://youtu.be/___h2czNhe0,2017/6/28,,,,
297,KNOCK KNOCK (Korean ver.),敲敲（韓文版）,KNOCK KNOCK (Korean ver.),韓文,4:00,https://youtu.be/8A2t_tAjMz8,2017/6/28,,,,
298,SIGNAL (Korean ver.),信號（韓文版）,SIGNAL (Korean ver.),韓文,4:18,https://youtu.be/VQtonf1fv_s,2017/6/28,,,,
299,LIKEY (Japanese ver.),喜歡你（日文版）,LIKEY (Japanese ver.),日文,3:28,https://youtu.be/ZTQhMYchpsw,2019/3/6,,,,
300,Heart Shaker (Japanese ver.),心動（日文版）,Heart Shaker (Japanese ver.),日文,3:12,https://youtu.be/0kGkTScSHV8,2019/3/6,,,,
301,What is Love? (Japanese ver.),什麼是愛？（日文版）,What Is Love? (Japanese ver.),日文,3:39,https://youtu.be/3zQXMPbK5jU,2019/3/6,,,,
302,Dance The Night Away (Japanese ver.),徹夜狂歡（日文版）,Dance The Night Away (Japanese ver.),日文,3:03,https://youtu.be/i4V15zX14XM,2019/3/6,,,,
303,YES or YES (Japanese ver.),是或是（日文版）,YES or YES (Japanese ver.),日文,3:58,https://youtu.be/ifvbhFPDS1Y,2019/3/6,,,,
304,LIKEY (Korean ver.),喜歡你（韓文版）,LIKEY (Korean ver.),韓文,3:41,https://youtu.be/V2hlQkVJZhE,2019/3/6,,,,
305,Heart Shaker (Korean ver.),心動（韓文版）,Heart Shaker (Korean ver.),韓文,3:12,https://youtu.be/cCSd_gSXuBA,2019/3/6,,,,
306,What is Love? (Korean ver.),什麼是愛？（韓文版）,What Is Love? (Korean ver.),韓文,3:28,https://youtu.be/w4nihuYVTW0,2019/3/6,,,,
307,Dance The Night Away (Korean ver.),徹夜狂歡（韓文版）,Dance The Night Away (Korean ver.),韓文,3:03,https://youtu.be/6bT2CA9DS6o,2019/3/6,,,,
308,YES or YES (Korean ver.),是或是（韓文版）,YES or YES (Korean ver.),韓文,4:28,https://youtu.be/mAKsZ26SabQ,2019/3/6,,,,
309,The Best Thing I Ever Did (Japanese ver.),我今年做得最棒的事（日文版）,The Best Thing I Ever Did (Japanese ver.),日文,3:33,https://youtu.be/Ik1GJRA6s5U,2020/9/16,,,,
310,FANCY (Japanese ver.),華麗（日文版）,FANCY (Japanese ver.),日文,3:33,https://youtu.be/BXutgO4aTaA,2020/9/16,,,,
311,Feel Special (Japanese ver.),感覺特別（日文版）,Feel Special (Japanese ver.),日文,3:26,https://youtu.be/8ZPC7xlQj4o,2020/9/16,,,,
312,MORE & MORE (Japanese ver.),更多更多（日文版）,MORE & MORE (Japanese ver.),日文,3:19,https://youtu.be/Num10kZDKlw,2020/9/16,,,,
313,STUCK IN MY HEAD (Japanese ver.),困在我腦海（日文版）,STUCK IN MY HEAD (Japanese ver.),日文,2:56,https://youtu.be/FdN75bG3v20,2020/9/16,,,,
314,21:29 (Japanese ver.),21:29（日文版）,21:29 (Japanese ver.),日文,3:48,https://youtu.be/k6ut-f3Gibc,2020/9/16,,,,
315,The Best Thing I Ever Did (Korean ver.),我今年做得最棒的事（韓文版）,The Best Thing I Ever Did (Korean ver.),韓文,3:33,https://youtu.be/CfUGjK6gGgs,2020/9/16,,,,
316,FANCY (Korean ver.),華麗（韓文版）,FANCY (Korean ver.),韓文,3:38,https://youtu.be/kOHB85vDuow,2020/9/16,,,,
317,Feel Special (Korean ver.),感覺特別（韓文版）,Feel Special (Korean ver.),韓文,3:26,https://youtu.be/2zZxNpzqcAc,2020/9/16,,,,
318,MORE & MORE (Korean ver.),更多更多（韓文版）,MORE & MORE (Korean ver.),韓文,3:19,https://youtu.be/8yTxNtVr_d8,2020/9/16,,,,
319,STUCK IN MY HEAD (Korean ver.),困在我腦海（韓文版）,STUCK IN MY HEAD (Korean ver.),韓文,2:56,https://youtu.be/k9UXGuoc4lQ,2020/9/16,,,,
320,21:29 (Korean ver.),21:29（韓文版）,21:29 (Korean ver.),韓文,3:48,https://youtu.be/gsmSi4avq-0,2020/9/16,,,,
321,I CAN'T STOP ME (Japanese ver.),無法停止（日文版）,I CAN’T STOP ME (Japanese ver.),日文,3:41,https://youtu.be/HeJKIcgWPgE,2022/3/16,,,,
322,CRY FOR ME (Japanese ver.),為我哭泣（日文版）,CRY FOR ME (Japanese ver.),日文,3:24,https://youtu.be/tjLOyh-iXkk,2022/3/16,,,,
323,Alcohol-Free (Japanese ver.),無酒精（日文版）,Alcohol-Free (Japanese ver.),日文,3:30,https://youtu.be/AUeyY3IkocA,2022/3/16,,,,
324,SCIENTIST (Japanese ver.),科學家（日文版）,SCIENTIST (Japanese ver.),日文,3:16,https://youtu.be/RzUoFy1zKMA,2022/3/16,,,,
325,Talk That Talk(Japanese version),聊聊那件事（日文版）,Talk That Talk (Japanese Version),日文,2:58,https://youtu.be/3YtxooWlLg8,2025/5/14,,,,
326,Set Me Free(Japanese version),解放我（日文版）,Set Me Free (Japanese Version),日文,3:02,https://youtu.be/aTedl4ZSHgU,2025/5/14,,,,
327,ONE SPARK(Japanese version),唯一火花（日文版）,ONE SPARK (Japanese Version),日文,3:04,https://youtu.be/wtHHBIULcLI,2025/5/14,,,,
328,LUV ME,愛我吧,LUV ME,日文,3:29,https://youtu.be/S5wcE3aAZZc,2017/10/18,,,,
329,One More Time(Instrumental),再一次（伴奏）,One More Time (Instrumental),日文,3:03,https://youtu.be/I_BmeEkfT9k,2017/10/18,,,,
330,LUV ME(Instrumental),愛我吧（伴奏）,LUV ME (Instrumental),日文,3:29,https://youtu.be/epmdycT1b-M,2017/10/18,,,,
331,Candy Pop(Instrumental),糖果爆（伴奏）,Candy Pop (Instrumental),日文,3:22,https://youtu.be/yFcKSGa2l7Q,2018/2/7,,,,
332,BRAND NEW GIRL(Instrumental),全新女孩（伴奏）,BRAND NEW GIRL (Instrumental),日文,3:33,https://youtu.be/bBbghV7UYwI,2018/2/7,,,,
333,Pink Lemonade,粉紅檸檬水,Pink Lemonade,日文,3:40,https://youtu.be/lqWQZ0y9vOI,2018/5/16,,,,
334,Wake Me Up(Instrumental),叫醒我（伴奏）,Wake Me Up (Instrumental),日文,3:31,https://youtu.be/zQU8f8uZOdE,2018/5/16,,,,
335,Pink Lemonade(Instrumental),粉紅檸檬水（伴奏）,Pink Lemonade (Instrumental),日文,3:40,https://youtu.be/unsADdaxOPw,2018/5/16,,,,
336,The Best Thing I Ever Did (Japanese ver.),我今年做得最棒的事（日文版）,The Best Thing I Ever Did (Japanese ver.),日文,3:32,https://youtu.be/Ik1GJRA6s5U,2019/7/17,,,,
337,HAPPY HAPPY(Collapsedone Remix),快樂快樂（混音版）,HAPPY HAPPY (Collapsedone Remix),日文,3:32,https://youtu.be/DjWh6SdsAss,2019/7/17,,,,
338,HAPPY HAPPY(Instrumental),快樂快樂（伴奏）,HAPPY HAPPY (Instrumental),日文,3:27,https://youtu.be/cmWGbf5ZhQE,2019/7/17,,,,
339,FANCY (Japanese ver.),華麗（日文版）,FANCY (Japanese ver.),日文,3:38,https://youtu.be/6LbWN3FVfqI,2019/7/24,,,,
340,Breakthrough(taalthechoi Remix),突破（混音版）,Breakthrough (taalthechoi Remix),日文,3:24,https://youtu.be/hjRZSVEIUDQ,2019/7/24,,,,
341,Breakthrough(Instrumental),突破（伴奏）,Breakthrough (Instrumental),日文,3:37,https://youtu.be/OiwAqS3swKA,2019/7/24,,,,
342,Fanfare,應援,Fanfare,日文,3:37,https://youtu.be/kRT174IdxuM,2020/7/8,,,,
343,MORE & MORE (Japanese ver.),更多更多（日文版）,MORE & MORE (Japanese ver.),日文,3:19,https://youtu.be/Num10kZDKlw,2020/7/8,,,,
344,Fanfare (Lee Hae Sol Remix),應援（混音版）,Fanfare (Lee Hae Sol Remix),日文,3:31,https://youtu.be/rOO90Fo47-Q,2020/7/8,,,,
345,Fanfare(Instrumental),應援（伴奏）,Fanfare (Instrumental),日文,3:40,https://youtu.be/Gny1uPLFOEY,2020/7/8,,,,
346,Better,更好,Better,日文,3:47,https://youtu.be/sLmLwgxnPUE,2020/11/18,,,,
347,Scorpion,蠍子,Scorpion,日文,3:28,https://youtu.be/V4gusFdqBb4,2020/11/18,,,,
348,Better(Instrumental),更好（伴奏）,Better (Instrumental),日文,3:47,https://youtu.be/smd1BOUbFe8,2020/11/18,,,,
349,Scorpion(Instrumental),蠍子（伴奏）,Scorpion (Instrumental),日文,3:28,https://youtu.be/63f8ga_AGWU,2020/11/18,,,,
350,Kura Kura,暈暈的,Kura Kura,日文,3:48,https://youtu.be/qYbUKKmwiyc,2021/5/12,,,,
351,Strawberry Moon,草莓月亮,Strawberry Moon,日文,3:23,https://youtu.be/44TcFBoycL8,2021/5/12,,,,
352,Kura Kura (Instrumental),暈暈的（伴奏）,Kura Kura (Instrumental),日文,3:48,https://youtu.be/FGvGy3eGk-8,2021/5/12,,,,
353,Strawberry Moon (Instrumental),草莓月亮（伴奏）,Strawberry Moon (Instrumental),日文,3:23,https://youtu.be/ITVG9Mc9rNo,2021/5/12,,,,
354,Doughnut,甜甜圈,Doughnut,日文,4:24,https://youtu.be/0wGJBU57Ax8,2021/12/15,,,,
355,Wonderful Day,美好的一天,Wonderful Day,日文,3:43,https://youtu.be/otoxc_H8qkE,2021/12/15,,,,
356,Doughnut(Instrumental),甜甜圈（伴奏）,Doughnut (Instrumental),日文,4:24,https://youtu.be/Lsxmm96XR1U,2021/12/15,,,,
357,Wonderful Day(Instrumental),美好的一天（伴奏）,Wonderful Day (Instrumental),日文,3:31,https://youtu.be/B7RahXwHrk4,2021/12/15,,,,
358,Hare Hare,晴晴,Hare Hare,日文,3:23,https://youtu.be/tNLD0yUNaOg,2023/5/31,,,,
359,Catch a Wave,捕捉浪潮,Catch a Wave,日文,3:33,https://youtu.be/XptsZ69eSq8,2023/5/31,,,,
360,Hare Hare(Instrumental),晴晴（伴奏）,Hare Hare (Instrumental),日文,3:23,https://youtu.be/yJ0Mc3KfXIY,2023/5/31,,,,
361,Catch a Wave(Instrumental),捕捉浪潮（伴奏）,Catch a Wave (Instrumental),日文,3:34,https://youtu.be/x58HNBUvIzc,2023/5/31,,,,
362,Do not touch,禁止觸碰,Do Not Touch,日文,3:06,https://youtu.be/w9VHb4BtfYY,2023/7/26,,,,
363,Behind The Curtain,幕後,Behind The Curtain,日文,2:59,https://youtu.be/G3ykY-X_W1M,2023/7/26,,,,
364,Marshmallow,棉花糖,Marshmallow,日文,3:03,https://youtu.be/TPUG4dDuG_I,2023/7/26,,,,
365,Funny Valentine,情人節,Funny Valentine,日文,3:18,https://youtu.be/jlJRWbpAmfI,2023/7/26,,,,
366,It's not easy for you,對你來說不容易,It’s Not Easy for You,日文,2:21,https://youtu.be/ybjWh7I48Ew,2023/7/26,,,,
367,Rewind you,把你倒轉,Rewind You,日文,3:18,https://youtu.be/vP7-lyegrXE,2023/7/26,,,,
368,Bouquet,花束,Bouquet,日文,4:24,https://youtu.be/lD-GY7WiTd4,2023/7/26,,,,
369,Identity,自我認同,Identity,日文,2:21,https://youtu.be/d67H9wtS7rs,2024/11/6,,,,
370,RUNWAY,伸展台,RUNWAY,日文,2:44,https://youtu.be/KrSQJeTBIpI,2024/11/6,,,,
371,Wah Wah Wah,哇哇哇,Wah Wah Wah,日文,3:08,https://youtu.be/JA8NlW1ns9c,2024/11/6,,,,
372,"Baby, I'm good",寶貝，我很好,"Baby, I’m Good",日文,3:00,https://youtu.be/uIe9kiD02BI,2024/11/6,,,,
373,Daydream,白日夢,Daydream,日文,2:46,https://youtu.be/o1FcoMhwFQE,2024/11/6,,,,
374,NEW LOOK,全新造型,NEW LOOK,日文,3:17,https://youtu.be/aRsuhkWA3Dw,2024/11/6,,,,
375,Jealousy,嫉妒,Jealousy,日文,3:20,https://youtu.be/ISocMAtkK1g,2024/11/6,,,,
376,Misty(MINA solo),薄霧（MINA 獨唱）,Misty (MINA solo),日文,3:15,https://youtu.be/wkXE4-VpSec,2024/11/6,,,,
377,Money In My Pocket(MOMO solo),口袋裡的錢（MOMO 獨唱）,Money In My Pocket (MOMO solo),日文,2:30,https://youtu.be/NFAi_mxlcXs,2024/11/6,,,,
378,Mirage(SANA solo),幻影（SANA 獨唱）,Mirage (SANA solo),日文,3:01,https://youtu.be/KeVK8bQzhPc,2024/11/6,,,,
379,Message,訊息,Message,日文,4:05,https://youtu.be/YORvkKQwOHg,2025/4/28,,,,
380,The Feels,悸動,The Feels,韓文,2:51,https://youtu.be/9j6_KM-uzfY,2023/11/22,,,,
381,I CAN'T STOP ME,無法停止,I CAN’T STOP ME,韓文,3:26,https://youtu.be/pMQjg5b-3gE,2023/11/22,,,,
382,The Feels (The Stereotypes Remix),悸動（混音版）,The Feels (The Stereotypes Remix),英文,3:23,https://youtu.be/XwX6LN1YtSs,2021/10/1,,,,
383,The Feels (YVES V Remix),悸動（混音版）,The Feels (YVES V Remix),英文,2:15,https://youtu.be/aYZBlU0lFIo,2021/10/1,,,,
384,The Feels(Inst.),悸動（伴奏）,The Feels (Instrumental),英文,3:19,https://youtu.be/da9tihVXF7A,2021/10/1,,,,
385,The Feels (The Stereotypes Remix)(Inst.),悸動（混音伴奏）,The Feels (The Stereotypes Remix) (Instrumental),英文,3:23,https://youtu.be/XwX6LN1YtSs,2021/10/1,,,,
386,The Feels (YVES V Remix)(Inst.),悸動（混音伴奏）,The Feels (YVES V Remix) (Instrumental),英文,2:15,https://youtu.be/aYZBlU0lFIo,2021/10/1,,,,
387,The Feels (Benny Benassi Remix),悸動（貝尼貝納西混音）,The Feels (Benny Benassi Remix),英文,3:12,https://youtu.be/da9tihVXF7A,2021/10/1,,,,
388,MOONLIGHT SUNRISE(House remix),月光日出（浩室混音）,MOONLIGHT SUNRISE (House Remix),英文,3:38,https://youtu.be/g-p9Ba8-ttM,2023/1/20,,,,
389,MOONLIGHT SUNRISE(Club remix),月光日出（夜店混音）,MOONLIGHT SUNRISE (Club Remix),英文,3:51,https://youtu.be/vmRhsueXkBY,2023/1/20,,,,
390,MOONLIGHT SUNRISE(R&B remix),月光日出（R&B混音）,MOONLIGHT SUNRISE (R&B Remix),英文,3:13,https://youtu.be/JG5dtrU09Iw,2023/1/20,,,,
391,MOONLIGHT SUNRISE(Instrumental),月光日出（伴奏）,MOONLIGHT SUNRISE (Instrumental),英文,3:00,https://youtu.be/ZMNUe5Tsmko,2023/1/20,,,,
392,"I GOT YOU"" (Instrumental)",我擁有你（伴奏）,I GOT YOU (Instrumental),英文,2:53,https://youtu.be/9nY9MqpqZQk,2024/2/2,,,,
393,"I GOT YOU"" (feat. Lauv)",我擁有你（合作版）,I GOT YOU (feat. Lauv),英文,3:04,https://youtu.be/9nY9MqpqZQk,2024/2/2,,,,
394,"I GOT YOU"" (Original)",我擁有你（原版）,I GOT YOU (Original),英文,3:52,https://youtu.be/haf67eKF0uo,2024/2/2,,,,
395,"I GOT YOU"" (Lo-fi ver.)",我擁有你（低傳真版）,I GOT YOU (Lo-fi ver.),英文,3:10,https://youtu.be/GZ99f_CZY-c,2024/2/2,,,,
396,"I GOT YOU"" (Hyper ver.)",我擁有你（高速版）,I GOT YOU (Hyper ver.),英文,2:39,https://youtu.be/-aVTEuKp1WA,2024/2/2,,,,
397,"I GOT YOU"" (Garage ver.)",我擁有你（車庫版）,I GOT YOU (Garage ver.),英文,3:10,https://youtu.be/0-BKiesiaxE,2024/2/2,,,,
398,"I GOT YOU"" (Sped Up ver.)",我擁有你（加速版）,I GOT YOU (Sped Up ver.),英文,2:36,https://youtu.be/1KxRngLlrSM,2024/2/2,,,,
399,"I GOT YOU"" (feat. Lauv) (Instrumental)",我擁有你（合作伴奏）,I GOT YOU (feat. Lauv) (Instrumental),英文,3:04,https://youtu.be/vdoyceGGySo,2024/2/2,,,,
400,"I GOT YOU"" (Original) (Instrumental)",我擁有你（原版伴奏）,I GOT YOU (Original) (Instrumental),英文,2:53,https://youtu.be/9nY9MqpqZQk,2024/2/2,,,,
401,"I GOT YOU"" (Lo-fi ver.) (Instrumental)",我擁有你（低傳真伴奏）,I GOT YOU (Lo-fi ver.) (Instrumental),英文,3:10,https://youtu.be/3LqfzqqPNGI,2024/2/2,,,,
402,"I GOT YOU"" (Hyper ver.) (Instrumental)",我擁有你（高速伴奏）,I GOT YOU (Hyper ver.) (Instrumental),英文,2:39,https://youtu.be/dYoLBpOw-4I,2024/2/2,,,,
403,"I GOT YOU"" (Garage ver.) (Instrumental)",我擁有你（車庫伴奏）,I GOT YOU (Garage ver.) (Instrumental),英文,3:10,https://youtu.be/_nnYyOQBTZw,2024/2/2,,,,
404,"I GOT YOU"" (Sped Up ver.) (Instrumental)",我擁有你（加速伴奏）,I GOT YOU (Sped Up ver.) (Instrumental),英文,2:36,https://youtu.be/1KxRngLlrSM,2024/2/2,,,,
405,I'll Show You,我會讓你看見,I’ll Show You,英文,3:19,https://youtu.be/7ns79MgJJQY,2020/11/6,,,,
406,superstars,超級明星,Superstars,英文,2:24,https://youtu.be/-qHKU8vxLyc,2025/8/1,,,,
407,Golden,金色,Golden,英文,3:18,https://youtu.be/yebNIHKAC4A?si=XdZ4qwcXGRmsQPT1,2025/6/24,,,,
408,Free,自由,Free,英文,3:07,https://youtu.be/HyQn-jkug-w?si=aPMd_lEFkmF5aZ98,2025/6/19,,,,
409,What It Sounds Like,聽起來像,What It Sounds Like,英文,4:10,https://youtu.be/4TZmNObLkAU?si=M160PVw6dfCA37U8,2025/6/19,,,,
410,Soda Pop,汽水,Soda Pop,英文,2:50,https://youtu.be/983bBbJx0Mk?si=tZNjYC5362EnTBxy,2025/6/24,,,,
411,Your Idol,你的偶像,Your Idol,英文,1:59,https://youtu.be/cWppAbqm9I8?si=PDOVjayOtSCB-Dy2,2025/6/26,,,,
